date,platform,n
2015-08-23,facebook,0
2015-08-24,facebook,0
2015-08-25,facebook,18
2015-08-26,facebook,37
2015-08-27,facebook,39
2015-08-28,facebook,44
2015-08-29,facebook,50
2015-08-30,facebook,53
2015-08-31,facebook,55
2015-09-01,facebook,57
2015-09-02,facebook,64
2015-09-03,facebook,69
2015-09-04,facebook,74
2015-09-05,facebook,76
2015-09-06,facebook,78
2015-09-07,facebook,79
2015-09-08,facebook,90
2015-09-09,facebook,93
2015-09-10,facebook,96
2015-09-11,facebook,98
2015-09-12,facebook,99
2015-09-13,facebook,100
2015-09-14,facebook,101
2015-09-15,facebook,102
2015-09-16,facebook,102
2015-09-17,facebook,102
2015-09-18,facebook,102
2015-09-19,facebook,103
2015-09-20,facebook,103
2015-09-21,facebook,103
2015-09-22,facebook,103
2015-09-23,facebook,103
2015-09-24,facebook,104
2015-09-25,facebook,104
2015-09-26,facebook,104
2015-09-27,facebook,105
2015-09-28,facebook,106
2015-09-29,facebook,106
2015-09-30,facebook,107
2015-10-01,facebook,108
2015-10-02,facebook,109
2015-10-03,facebook,109
2015-10-04,facebook,109
2015-10-05,facebook,111
2015-10-06,facebook,112
2015-10-07,facebook,114
2015-10-08,facebook,116
2015-10-09,facebook,118
2015-10-10,facebook,121
2015-10-11,facebook,122
2015-10-12,facebook,123
2015-10-13,facebook,124
2015-10-14,facebook,137
2015-10-15,facebook,141
2015-10-16,facebook,145
2015-10-17,facebook,145
2015-10-18,facebook,149
2015-10-19,facebook,153
2015-10-20,facebook,157
2015-10-21,facebook,160
2015-10-22,facebook,162
2015-10-23,facebook,164
2015-10-24,facebook,168
2015-10-25,facebook,173
2015-10-26,facebook,177
2015-10-27,facebook,183
2015-10-28,facebook,189
2015-10-29,facebook,189
2015-10-30,facebook,189
2015-10-31,facebook,189
2015-11-01,facebook,190
2015-11-02,facebook,190
2015-11-03,facebook,191
2015-11-04,facebook,192
2015-11-05,facebook,192
2015-11-06,facebook,192
2015-11-07,facebook,192
2015-11-08,facebook,192
2015-11-09,facebook,192
2015-11-10,facebook,192
2015-11-11,facebook,193
2015-11-12,facebook,194
2015-11-13,facebook,195
2015-11-14,facebook,195
2015-11-15,facebook,195
2015-11-16,facebook,200
2015-11-17,facebook,202
2015-11-18,facebook,205
2015-11-19,facebook,205
2015-11-20,facebook,206
2015-11-21,facebook,208
2015-11-22,facebook,209
2015-11-23,facebook,210
2015-11-24,facebook,210
2015-11-25,facebook,214
2015-11-26,facebook,216
2015-11-27,facebook,219
2015-11-28,facebook,219
2015-11-29,facebook,219
2015-11-30,facebook,219
2015-12-01,facebook,221
2015-12-02,facebook,222
2015-12-03,facebook,224
2015-12-04,facebook,224
2015-12-05,facebook,224
2015-12-06,facebook,224
2015-12-07,facebook,227
2015-12-08,facebook,231
2015-12-09,facebook,235
2015-12-10,facebook,237
2015-12-11,facebook,238
2015-12-12,facebook,238
2015-12-13,facebook,239
2015-12-14,facebook,241
2015-12-15,facebook,243
2015-12-16,facebook,244
2015-12-17,facebook,246
2015-12-18,facebook,247
2015-12-19,facebook,248
2015-12-20,facebook,248
2015-12-21,facebook,247
2015-12-22,facebook,247
2015-12-23,facebook,248
2015-12-24,facebook,248
2015-12-25,facebook,248
2015-12-26,facebook,248
2015-12-27,facebook,248
2015-12-28,facebook,248
2015-12-29,facebook,248
2015-12-30,facebook,249
2015-12-31,facebook,249
2016-01-01,facebook,248
2016-01-02,facebook,248
2016-01-03,facebook,248
2016-01-04,facebook,248
2016-01-05,facebook,248
2016-01-06,facebook,250
2016-01-07,facebook,250
2016-01-08,facebook,250
2016-01-09,facebook,250
2016-01-10,facebook,250
2016-01-11,facebook,251
2016-01-12,facebook,251
2016-01-13,facebook,252
2016-01-14,facebook,252
2016-01-15,facebook,253
2016-01-16,facebook,254
2016-01-17,facebook,255
2016-01-18,facebook,255
2016-01-19,facebook,255
2016-01-20,facebook,255
2016-01-21,facebook,255
2016-01-22,facebook,256
2016-01-23,facebook,256
2016-01-24,facebook,256
2016-01-25,facebook,258
2016-01-26,facebook,260
2016-01-26,mailchimp,228
2016-01-27,facebook,260
2016-01-27,mailchimp,228
2016-01-28,facebook,262
2016-01-28,mailchimp,228
2016-01-29,facebook,265
2016-01-29,mailchimp,228
2016-01-30,facebook,265
2016-01-30,mailchimp,228
2016-01-31,facebook,267
2016-01-31,mailchimp,228
2016-02-01,facebook,269
2016-02-01,mailchimp,230
2016-02-02,facebook,269
2016-02-02,mailchimp,255
2016-02-03,facebook,270
2016-02-03,mailchimp,255
2016-02-04,facebook,270
2016-02-04,mailchimp,255
2016-02-05,facebook,270
2016-02-05,mailchimp,255
2016-02-06,facebook,270
2016-02-06,mailchimp,255
2016-02-07,facebook,270
2016-02-07,mailchimp,255
2016-02-08,facebook,270
2016-02-08,mailchimp,256
2016-02-09,facebook,270
2016-02-09,mailchimp,256
2016-02-10,facebook,271
2016-02-10,mailchimp,256
2016-02-11,facebook,277
2016-02-11,mailchimp,256
2016-02-12,facebook,278
2016-02-12,mailchimp,256
2016-02-13,facebook,278
2016-02-13,mailchimp,256
2016-02-14,facebook,278
2016-02-14,mailchimp,256
2016-02-15,facebook,278
2016-02-15,mailchimp,256
2016-02-16,facebook,278
2016-02-16,mailchimp,256
2016-02-17,facebook,278
2016-02-17,mailchimp,256
2016-02-18,facebook,280
2016-02-18,mailchimp,256
2016-02-19,facebook,283
2016-02-19,mailchimp,256
2016-02-20,facebook,288
2016-02-20,mailchimp,256
2016-02-21,facebook,288
2016-02-21,mailchimp,256
2016-02-22,facebook,288
2016-02-22,mailchimp,256
2016-02-23,facebook,289
2016-02-23,mailchimp,256
2016-02-24,facebook,290
2016-02-24,mailchimp,256
2016-02-25,facebook,290
2016-02-25,mailchimp,256
2016-02-26,facebook,290
2016-02-26,mailchimp,259
2016-02-27,facebook,291
2016-02-27,mailchimp,259
2016-02-28,facebook,292
2016-02-28,mailchimp,259
2016-02-29,facebook,294
2016-02-29,mailchimp,259
2016-03-01,facebook,294
2016-03-01,mailchimp,259
2016-03-02,facebook,294
2016-03-02,mailchimp,259
2016-03-03,facebook,294
2016-03-03,mailchimp,259
2016-03-04,facebook,294
2016-03-04,mailchimp,260
2016-03-05,facebook,295
2016-03-05,mailchimp,260
2016-03-06,facebook,295
2016-03-06,mailchimp,260
2016-03-07,facebook,296
2016-03-07,mailchimp,260
2016-03-08,facebook,297
2016-03-08,mailchimp,260
2016-03-09,facebook,297
2016-03-09,mailchimp,260
2016-03-10,facebook,298
2016-03-10,mailchimp,261
2016-03-11,facebook,300
2016-03-11,mailchimp,261
2016-03-12,facebook,301
2016-03-12,mailchimp,261
2016-03-13,facebook,302
2016-03-13,mailchimp,261
2016-03-14,facebook,304
2016-03-14,mailchimp,261
2016-03-15,facebook,304
2016-03-15,mailchimp,261
2016-03-16,facebook,304
2016-03-16,mailchimp,261
2016-03-17,facebook,305
2016-03-17,mailchimp,261
2016-03-18,facebook,305
2016-03-18,mailchimp,261
2016-03-19,facebook,306
2016-03-19,mailchimp,261
2016-03-20,facebook,306
2016-03-20,mailchimp,261
2016-03-21,facebook,306
2016-03-21,mailchimp,261
2016-03-22,facebook,306
2016-03-22,mailchimp,261
2016-03-23,facebook,306
2016-03-23,mailchimp,261
2016-03-24,facebook,306
2016-03-24,mailchimp,261
2016-03-25,facebook,306
2016-03-25,mailchimp,261
2016-03-26,facebook,306
2016-03-26,mailchimp,261
2016-03-27,facebook,306
2016-03-27,mailchimp,261
2016-03-28,facebook,307
