"","date","subs"
"1",2016-01-26,228
"2",2016-01-27,228
"3",2016-01-28,228
"4",2016-01-29,228
"5",2016-01-30,228
"6",2016-01-31,228
"7",2016-02-01,230
"8",2016-02-02,255
"9",2016-02-03,255
"10",2016-02-04,255
"11",2016-02-05,255
"12",2016-02-06,255
"13",2016-02-07,255
"14",2016-02-08,256
"15",2016-02-09,256
"16",2016-02-10,256
"17",2016-02-11,256
"18",2016-02-12,256
"19",2016-02-13,256
"20",2016-02-14,256
"21",2016-02-15,256
"22",2016-02-16,256
"23",2016-02-17,256
"24",2016-02-18,256
"25",2016-02-19,256
"26",2016-02-20,256
"27",2016-02-21,256
"28",2016-02-22,256
"29",2016-02-23,256
"30",2016-02-24,256
"31",2016-02-25,256
"32",2016-02-26,259
"33",2016-02-27,259
"34",2016-02-28,259
"35",2016-02-29,259
"36",2016-03-01,259
"37",2016-03-02,259
"38",2016-03-03,259
"39",2016-03-04,260
"40",2016-03-05,260
"41",2016-03-06,260
"42",2016-03-07,260
"43",2016-03-08,260
"44",2016-03-09,260
"45",2016-03-10,261
"46",2016-03-11,261
"47",2016-03-12,261
"48",2016-03-13,261
"49",2016-03-14,261
"50",2016-03-15,261
"51",2016-03-16,261
"52",2016-03-17,261
"53",2016-03-18,261
"54",2016-03-19,261
"55",2016-03-20,261
"56",2016-03-21,261
"57",2016-03-22,261
"58",2016-03-23,261
"59",2016-03-24,261
"60",2016-03-25,261
"61",2016-03-26,261
"62",2016-03-27,261
"63",2016-03-28,261
"64",2016-03-29,261
"65",2016-03-30,261
"66",2016-03-31,261
"67",2016-04-01,261
"68",2016-04-02,261
"69",2016-04-03,261
"70",2016-04-04,268
"71",2016-04-05,268
"72",2016-04-06,268
"73",2016-04-07,268
"74",2016-04-08,268
"75",2016-04-09,268
"76",2016-04-10,268
"77",2016-04-11,268
"78",2016-04-12,268
"79",2016-04-13,268
"80",2016-04-14,268
"81",2016-04-15,268
"82",2016-04-16,268
"83",2016-04-17,268
"84",2016-04-18,268
"85",2016-04-19,268
"86",2016-04-20,268
"87",2016-04-21,268
"88",2016-04-22,268
"89",2016-04-23,268
"90",2016-04-24,269
"91",2016-04-25,269
"92",2016-04-26,269
"93",2016-04-27,269
"94",2016-04-28,269
"95",2016-04-29,269
"96",2016-04-30,269
"97",2016-05-01,269
"98",2016-05-02,269
"99",2016-05-03,269
"100",2016-05-04,269
"101",2016-05-05,269
"102",2016-05-06,269
"103",2016-05-07,269
"104",2016-05-08,269
"105",2016-05-09,269
"106",2016-05-10,269
"107",2016-05-11,269
"108",2016-05-12,270
"109",2016-05-13,270
"110",2016-05-14,270
"111",2016-05-15,270
"112",2016-05-16,270
"113",2016-05-17,270
"114",2016-05-18,270
"115",2016-05-19,270
"116",2016-05-20,270
"117",2016-05-21,270
"118",2016-05-22,270
"119",2016-05-23,270
"120",2016-05-24,270
"121",2016-05-25,270
"122",2016-05-26,270
"123",2016-05-27,270
"124",2016-05-28,270
"125",2016-05-29,270
"126",2016-05-30,270
"127",2016-05-31,270
"128",2016-06-01,270
"129",2016-06-02,270
"130",2016-06-03,270
"131",2016-06-04,270
"132",2016-06-05,270
"133",2016-06-06,270
"134",2016-06-07,270
"135",2016-06-08,270
"136",2016-06-09,270
"137",2016-06-10,270
"138",2016-06-11,270
"139",2016-06-12,270
"140",2016-06-13,270
"141",2016-06-14,270
"142",2016-06-15,270
"143",2016-06-16,270
"144",2016-06-17,270
"145",2016-06-18,270
"146",2016-06-19,270
"147",2016-06-20,270
"148",2016-06-21,270
"149",2016-06-22,270
"150",2016-06-23,270
"151",2016-06-24,270
"152",2016-06-25,270
"153",2016-06-26,270
"154",2016-06-27,270
"155",2016-06-28,270
"156",2016-06-29,270
"157",2016-06-30,270
"158",2016-07-01,270
"159",2016-07-02,270
"160",2016-07-03,270
"161",2016-07-04,270
"162",2016-07-05,270
"163",2016-07-06,270
"164",2016-07-07,270
"165",2016-07-08,270
"166",2016-07-09,270
"167",2016-07-10,270
"168",2016-07-11,270
"169",2016-07-12,270
"170",2016-07-13,270
"171",2016-07-14,270
"172",2016-07-15,270
"173",2016-07-16,270
"174",2016-07-17,270
"175",2016-07-18,270
"176",2016-07-19,270
"177",2016-07-20,270
"178",2016-07-21,270
"179",2016-07-22,270
"180",2016-07-23,270
"181",2016-07-24,270
"182",2016-07-25,270
"183",2016-07-26,270
"184",2016-07-27,270
"185",2016-07-28,270
"186",2016-07-29,270
"187",2016-07-30,270
"188",2016-07-31,270
"189",2016-08-01,270
"190",2016-08-02,270
"191",2016-08-03,270
"192",2016-08-04,270
"193",2016-08-05,270
"194",2016-08-06,270
"195",2016-08-07,270
